booking_id,customer_id,room_id,hotel_id,check_in_date,check_out_date,booking_date,nights,price,discount_percent,discounted_price,revenue,is_canceled,lead_time,no_of_guests,market_segment,booking_channel,meal_plan,rating,booking_time,payment_method,room_type
BKG000001,CID2553,178,36,2024-11-17,2024-11-18,2024-11-15,1,3426.38,0,3426.38,3426.38,0,2,2,OTA,Booking.com,Full Board,,16:38,Credit Card,Premium
BKG000002,CID3092,132,27,2024-05-21,2024-05-26,2024-05-05,5,11096.53,10,9986.88,9986.88,0,16,1,Walk-in,Walk-in,Full Board,5.0,20:33,Cash,Deluxe
BKG000003,CID5552,93,19,2024-04-17,2024-04-18,2024-03-21,1,2891.3,15,2457.6,2457.6,0,27,2,OTA,Goibibo,Breakfast Included,,19:30,Debit Card,Premium
BKG000004,CID0827,181,37,2024-10-18,2024-10-21,2024-10-11,3,3735.59,30,2614.91,0.0,1,7,2,OTA,Agoda,Breakfast Included,4.0,18:22,Debit Card,Standard
BKG000005,CID0069,208,42,2024-04-24,2024-04-25,2024-04-23,1,3370.89,5,3202.35,3202.35,0,1,1,Online,OYO App,Breakfast Included,,21:36,UPI,Premium
BKG000006,CID4352,272,55,2024-10-10,2024-10-12,2024-09-12,2,4778.14,5,4539.23,4539.23,0,28,1,OTA,Booking.com,No Meal,3.9,11:48,UPI,Deluxe
BKG000007,CID5062,51,11,2024-01-26,2024-01-27,2024-01-01,1,1396.79,20,1117.43,1117.43,0,27,3,Walk-in,Walk-in,Breakfast Included,4.0,20:48,UPI,Standard
BKG000008,CID2109,306,62,2024-06-26,2024-06-28,2024-06-07,2,2391.01,20,1912.81,1912.81,0,19,1,Corporate,Corporate Direct,Breakfast Included,3.8,21:27,Wallet,Standard
BKG000009,CID6717,175,35,2024-11-11,2024-11-14,2024-10-19,3,27521.58,5,26145.5,26145.5,0,23,2,Online,OYO App,Breakfast Included,,23:00,Debit Card,Luxury
BKG000010,CID7374,161,33,2024-12-05,2024-12-06,2024-10-21,1,1361.97,10,1225.77,1225.77,0,45,2,Walk-in,Walk-in,No Meal,3.1,17:08,Debit Card,Standard
BKG000011,CID6032,118,24,2024-08-17,2024-08-20,2024-08-15,3,10308.95,30,7216.26,7216.26,0,2,2,Online,OYO App,No Meal,5.0,19:25,UPI,Premium
BKG000012,CID0819,298,60,2024-10-11,2024-10-13,2024-09-21,2,5545.5,5,5268.22,5268.22,0,20,1,Online,OYO App,No Meal,4.1,20:07,Cash,Premium
BKG000013,CID3460,171,35,2024-10-02,2024-10-05,2024-09-23,3,3712.32,10,3341.09,3341.09,0,9,3,OTA,Agoda,No Meal,4.2,21:17,Wallet,Standard
BKG000014,CID5243,237,48,2024-12-05,2024-12-12,2024-12-03,7,15559.44,25,11669.58,0.0,1,2,2,Online,OYO Website,No Meal,3.3,23:45,UPI,Deluxe
BKG000015,CID1824,324,65,2024-05-02,2024-05-03,2024-04-13,1,6946.6,30,4862.62,0.0,1,19,1,OTA,MakeMyTrip,Full Board,4.6,23:06,UPI,Suite
BKG000016,CID6897,61,13,2024-09-16,2024-09-17,2024-09-09,1,973.03,5,924.38,924.38,0,7,2,OTA,Agoda,No Meal,2.9,21:01,UPI,Standard
BKG000017,CID5784,295,59,2024-06-21,2024-06-23,2024-06-16,2,15578.4,5,14799.48,14799.48,0,5,2,OTA,Agoda,Breakfast Included,,20:05,UPI,Luxury
BKG000018,CID6021,317,64,2024-07-08,2024-07-10,2024-06-03,2,3055.83,20,2444.66,2444.66,0,35,1,Online,OYO Website,Breakfast Included,,13:53,Credit Card,Deluxe
BKG000019,CID2734,166,34,2024-09-24,2024-09-26,2024-08-16,2,2100.2,10,1890.18,1890.18,0,39,1,Travel Agent,Goibibo,Half Board,5.0,21:00,Credit Card,Standard
BKG000020,CID1925,108,22,2024-12-27,2024-12-28,2024-12-08,1,2725.36,30,1907.75,0.0,1,19,1,OTA,Agoda,Breakfast Included,3.4,02:00,UPI,Premium
BKG000021,CID2325,16,4,2024-01-14,2024-01-15,2024-01-04,1,1378.3,0,1378.3,1378.3,0,10,3,OTA,MakeMyTrip,No Meal,4.3,21:05,Debit Card,Standard
